fullname,LastName,FirstName,Date,Start,Pos,Min,SoTA,GA,Saves,PSxG,PKatt,PKA,PKm,PassAtt,Throws,AvgLen,GKAtt,GKAvgLen,C,GkID
Aaron Ramsdale,Ramsdale,Aaron,10/30/2022,1,GK,90,2,0,2,0.1,0,0,0,18,7,19.2,4,32.5,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/23/2022,1,GK,90,3,1,2,0.7,0,0,0,27,5,35.6,2,17.5,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/16/2022,1,GK,90,4,0,4,1.3,1,0,1,36,5,36.0,8,50.4,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/9/2022,1,GK,90,3,2,1,0.9,0,0,0,22,5,47.1,4,68.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/1/2022,1,GK,90,3,1,2,1.1,1,1,0,18,4,35.5,2,76.5,0,2
Aaron Ramsdale,Ramsdale,Aaron,9/18/2022,1,GK,90,2,0,2,0.4,0,0,0,20,4,36.9,6,72.2,0,2
Aaron Ramsdale,Ramsdale,Aaron,9/4/2022,1,GK,90,6,3,3,3.1,0,0,0,38,7,35.6,3,55.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,8/31/2022,1,GK,90,3,1,2,0.2,0,0,0,22,9,37.6,5,61.8,0,2
Aaron Ramsdale,Ramsdale,Aaron,8/27/2022,1,GK,90,3,1,2,1.1,0,0,0,22,5,30.8,8,34.6,0,2
Aaron Ramsdale,Ramsdale,Aaron,8/20/2022,1,GK,90,1,0,1,0.1,0,0,0,23,2,33.6,4,72.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,8/13/2022,1,GK,90,2,2,1,0.5,0,0,0,23,3,37.3,3,72.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,8/5/2022,1,GK,90,2,0,2,0.3,0,0,0,30,4,36.5,2,43.5,0,2
