fullname,LastName,FirstName,Date,Start,Pos,Min,SoTA,GA,Saves,PSxG,PKatt,PKA,PKm,PassAtt,Throws,AvgLen,GKAtt,GKAvgLen,C,GkID
Bernd Leno,Leno,Bernd,2/27/2019,1,GK,90,5,1,4,1.0,0,0,0,29,3,30.1,3,57.7,0,3
Bernd Leno,Leno,Bernd,2/24/2019,1,GK,90,4,0,4,0.8,0,0,0,25,4,29.2,7,53.7,0,3
Bernd Leno,Leno,Bernd,2/9/2019,1,GK,90,6,1,5,1.2,0,0,0,28,6,33.2,7,64.3,0,3
Bernd Leno,Leno,Bernd,2/3/2019,1,GK,90,12,3,9,3.4,0,0,0,37,6,29.6,7,56.3,0,3
Bernd Leno,Leno,Bernd,1/29/2019,1,GK,90,2,1,1,0.7,0,0,0,22,5,26.2,11,35.5,0,3
Bernd Leno,Leno,Bernd,1/19/2019,1,GK,90,1,0,1,0.2,0,0,0,28,6,38.0,10,44.4,0,3
Bernd Leno,Leno,Bernd,1/12/2019,1,GK,90,3,1,2,0.5,0,0,0,33,9,31.1,9,30.0,0,3
Bernd Leno,Leno,Bernd,1/1/2019,1,GK,90,4,1,3,1.1,0,0,0,39,9,33.9,8,53.9,0,3
Bernd Leno,Leno,Bernd,12/29/2018,1,GK,90,10,5,5,4.9,2,2,0,36,11,32.6,7,35.3,0,3
Bernd Leno,Leno,Bernd,12/26/2018,1,GK,90,3,1,2,0.9,0,0,0,30,3,25.7,9,42.2,0,3
Bernd Leno,Leno,Bernd,12/22/2018,1,GK,90,2,1,1,1.8,0,0,0,32,5,36.4,11,59.6,0,3
Bernd Leno,Leno,Bernd,12/16/2018,1,GK,90,7,3,4,2.5,0,0,0,33,8,28.7,3,37.0,0,3
Bernd Leno,Leno,Bernd,12/8/2018,1,GK,90,0,0,0,0.0,0,0,0,32,3,31.9,9,45.6,0,3
Bernd Leno,Leno,Bernd,12/5/2018,1,GK,90,7,2,5,1.0,0,0,0,37,7,31.8,2,37.0,0,3
Bernd Leno,Leno,Bernd,12/2/2018,1,GK,90,6,2,4,1.9,1,1,0,29,4,35.8,5,54.2,0,3
Bernd Leno,Leno,Bernd,11/25/2018,1,GK,90,5,1,4,0.8,0,0,0,35,6,44.0,6,44.0,0,3
Bernd Leno,Leno,Bernd,11/11/2018,1,GK,90,5,1,4,2.5,0,0,0,24,7,19.4,2,21.5,0,3
Bernd Leno,Leno,Bernd,11/3/2018,1,GK,90,4,1,3,0.6,0,0,0,25,6,24.5,8,35.1,0,3
Bernd Leno,Leno,Bernd,10/28/2018,1,GK,90,3,2,1,2.0,2,2,0,18,4,21.1,10,24.1,0,3
Bernd Leno,Leno,Bernd,10/22/2018,1,GK,90,2,1,2,0.4,0,0,0,32,10,26.2,4,30.5,0,3
Bernd Leno,Leno,Bernd,10/7/2018,1,GK,90,4,1,3,0.6,0,0,0,35,9,29.3,7,44.6,0,3
Petr Cech,Cech,Petr,9/29/2018,1,GK,44,2,,2,0.8,,,,16,4,36.9,6,60.5,1,4
Bernd Leno,Leno,Bernd,9/29/2018,0,GK,46,3,0,3,1.2,0,0,0,14,2,24.3,6,63.3,0,3
Petr Cech,Cech,Petr,9/23/2018,1,GK,90,6,0,6,1.1,0,0,0,31,5,36.2,7,41.9,1,4
Petr Cech,Cech,Petr,9/15/2018,1,GK,90,2,1,1,0.4,0,0,0,41,11,31.0,3,37.0,1,4
Petr Cech,Cech,Petr,9/2/2018,1,GK,90,3,2,1,0.3,0,0,0,30,6,28.3,14,56.9,1,4
Petr Cech,Cech,Petr,8/25/2018,1,GK,90,5,1,4,1.4,0,0,0,26,8,28.8,6,43.7,1,4
Petr Cech,Cech,Petr,8/18/2018,1,GK,90,11,3,8,2.8,0,0,0,33,6,33.1,9,34.2,1,4
Petr Cech,Cech,Petr,8/12/2018,1,GK,90,8,2,6,2.4,0,0,0,40,6,30.2,8,41.0,1,4
Emiliano Martinez,Martinez,Emiliano,7/26/2020,1,GK,90,6,2,4,3.1,1,1,0,26,8,29.9,7,41.6,0,1
Emiliano Martinez,Martinez,Emiliano,7/21/2020,1,GK,90,3,1,2,0.2,0,0,0,20,5,17.6,5,15.0,0,1
Emiliano Martinez,Martinez,Emiliano,7/15/2020,1,GK,90,8,1,7,2.0,0,0,0,32,7,40.0,15,51.1,0,1
Emiliano Martinez,Martinez,Emiliano,7/12/2020,1,GK,90,9,2,7,3.1,0,0,0,33,8,20.9,4,18.0,0,1
Emiliano Martinez,Martinez,Emiliano,7/7/2020,1,GK,90,5,1,4,1.0,0,0,0,25,5,42.2,2,27.5,0,1
Emiliano Martinez,Martinez,Emiliano,7/4/2020,1,GK,90,1,0,1,0.2,0,0,0,28,4,31.9,9,23.7,0,1
Emiliano Martinez,Martinez,Emiliano,7/1/2020,1,GK,90,2,0,2,0.5,0,0,0,16,1,31.3,6,59.0,0,1
Emiliano Martinez,Martinez,Emiliano,6/25/2020,1,GK,90,3,0,3,0.1,0,0,0,31,6,36.4,10,50.0,0,1
Bernd Leno,Leno,Bernd,6/20/2020,1,GK,39,,,,0.0,,,,11,2,21.4,2,19.5,0,3
Emiliano Martinez,Martinez,Emiliano,6/20/2020,0,GK,51,5,2,3,1.6,0,0,0,21,4,29.0,3,42.0,0,1
Bernd Leno,Leno,Bernd,6/17/2020,1,GK,90,12,3,9,3.4,1,1,0,39,5,26.0,8,24.5,0,3
