Season,Tour,Date,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee,MatchID
2021/22,38,2022-05-22,2024-03-25T17:00:00.000Z,Everton,home,5,1,Emirates Stadium,60201,Mikel Arteta,Andre Marriner,189
2022/23,1,2022-08-05,2024-03-25T21:00:00.000Z,Crystal Palace,away,2,0,Selhurst Park,25286,Mikel Arteta,Anthony Taylor,190
2022/23,2,2022-08-13,2024-03-25T16:00:00.000Z,Leicester,home,4,2,Emirates Stadium,60033,Mikel Arteta,Darren England,191
2022/23,3,2022-08-20,2024-03-25T18:30:00.000Z,Bournemouth,away,3,0,Vitality Stadium,10423,Mikel Arteta,Craig Pawson,192
2022/23,4,2022-08-27,2024-03-25T18:30:00.000Z,Fulham,home,2,1,Emirates Stadium,60164,Mikel Arteta,Jarred Gillett,193
2022/23,5,2022-08-31,2024-03-25T20:30:00.000Z,Aston Villa,home,2,1,Emirates Stadium,60012,Mikel Arteta,Robert Jones,194
2022/23,6,2022-09-04,2024-03-25T17:30:00.000Z,Man Utd,away,1,3,Old Trafford,74310,Mikel Arteta,Paul Tierney,195
2022/23,8,2022-09-18,2024-03-25T15:00:00.000Z,Brentford,away,3,0,Brentford Community Stadium  ,17122,Mikel Arteta,David Coote,196
2022/23,9,2022-10-01,2024-03-25T13:30:00.000Z,Tottenham,home,3,1,Emirates Stadium,60278,Mikel Arteta,Anthony Taylor,197
2022/23,10,2022-10-09,2024-03-25T17:30:00.000Z,Liverpool,home,3,2,Emirates Stadium,60059,Mikel Arteta,Michael Oliver,198
2022/23,11,2022-10-16,2024-03-25T15:00:00.000Z,Leeds,away,1,0,Elland Road,36700,Mikel Arteta,Chris Kavanagh,199
2022/23,13,2022-10-23,2024-03-25T15:00:00.000Z,Southampton,away,1,1,St Mary's Stadium,31145,Mikel Arteta,Robert Jones,200
2022/23,14,2022-10-30,2024-03-25T15:00:00.000Z,Nottingham Forest,home,5,0,Emirates Stadium,60263,Mikel Arteta,Simon Hooper,201
2022/23,15,2022-11-06,2024-03-25T13:00:00.000Z,Chelsea,away,1,0,Stamford Bridge,40142,Mikel Arteta,Michael Oliver,202
2022/23,16,2022-11-12,2024-03-25T20:45:00.000Z,Wolves,away,2,0,Molineux Stadium,34624,Mikel Arteta,Stuart Attwell,203
2022/23,17,2022-12-26,2024-03-25T21:00:00.000Z,West Ham,home,3,1,Emirates Stadium,60125,Mikel Arteta,Michael Oliver,204
2022/23,18,2022-12-31,2024-03-25T18:30:00.000Z,Brighton,away,4,2,AMEX Stadium,31647,Mikel Arteta,Anthony Taylor,205
2022/23,19,2023-01-03,2024-03-25T20:45:00.000Z,Newcastle,home,0,0,Emirates Stadium,60319,Mikel Arteta,Andrew Madley,206
2022/23,20,2023-01-15,2024-03-25T17:30:00.000Z,Tottenham,away,2,0,Tottenham Hotspur Stadium,61870,Mikel Arteta,Craig Pawson,207
2022/23,21,2023-01-22,2024-03-25T17:30:00.000Z,Man Utd,home,3,2,Emirates Stadium,60325,Mikel Arteta,Anthony Taylor,208
2022/23,22,2023-02-04,2024-03-25T13:30:00.000Z,Everton,away,0,1,Goodison Park,39314,Mikel Arteta,David Coote,209
2022/23,23,2023-02-11,2024-03-25T16:00:00.000Z,Brentford,home,1,1,Emirates Stadium,60254,Mikel Arteta,Peter Bankes,210
2022/23,12,2023-02-15,2024-03-25T20:30:00.000Z,Man City,home,1,3,Emirates Stadium,60276,Mikel Arteta,Anthony Taylor,211
2022/23,24,2023-02-18,2024-03-25T13:30:00.000Z,Aston Villa,away,4,2,Villa Park,42066,Mikel Arteta,Simon Hooper,212
2022/23,25,2023-02-25,2024-03-25T16:00:00.000Z,Leicester,away,1,0,King Power Stadium,32227,Mikel Arteta,Craig Pawson,213
