Sead Kolasinac,Kolasinac,Sead,9/9/2017,1,WB,90,0,1,0,0,1,0,0,0,83,1,0,1,0.1,0.1,0.4,54,70,5,38,4,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,9/9/2017,1,CB,90,0,0,0,0,1,0,0,0,86,1,4,0,0.1,0.1,0.0,62,76,8,41,0,Defender,1,43
Alexandre Lacazette,Lacazette,Alexandre,9/9/2017,1,FW,74,1,0,0,0,2,2,0,0,25,1,1,0,0.6,0.6,0.0,16,17,1,15,1,Forward,0,10
Nacho Monreal,Monreal,Nacho,9/9/2017,1,CB,90,0,0,0,0,0,0,0,0,87,4,3,0,0.0,0.0,0.0,68,75,7,55,0,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,9/9/2017,1,CB,90,0,0,0,0,1,0,0,0,74,5,2,0,0.0,0.0,0.0,50,60,2,41,0,Defender,0,8
Mesut Ozil,Ozil,Mesut,9/9/2017,1,AM,90,0,0,0,0,2,1,0,0,66,1,1,1,0.2,0.2,0.5,45,59,5,37,2,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,9/9/2017,1,CM,66,0,1,0,0,1,1,0,0,51,0,2,0,0.4,0.4,0.1,37,47,5,33,1,Midfielder,0,5
Danny Welbeck,Welbeck,Danny,9/9/2017,1,AM,74,2,1,0,0,3,2,0,0,32,0,1,3,0.5,0.5,0.6,16,22,0,24,1,Midfielder,0,13
Granit Xhaka,Xhaka,Granit,9/9/2017,1,CM,90,0,0,0,0,2,1,0,0,87,2,1,0,0.1,0.1,0.1,54,78,7,55,1,Midfielder,0,44
Alexis Sanchez,Sanchez,Alexis,9/9/2017,0,AM,16,0,0,0,0,2,1,0,0,11,0,0,0,0.1,0.1,0.2,6,9,2,10,1,Midfielder,0,41
Hector Bellerin,Bellerin,Hector,9/17/2017,1,WB,90,0,0,0,0,0,0,1,0,69,1,0,2,0.0,0.0,0.4,51,62,1,33,1,Defender,0,2
Alex Iwobi,Iwobi,Alex,9/17/2017,1,AM,79,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.3,33,36,6,28,2,Midfielder,0,50
